Dataset,Method,Test Accuracy,Train Accuracy,Runtime
species,cnn,0.775,0.6270833333333333,0
species,cnn,0.775,0.5552083333333333,0
species,cnn,0.7687499999999999,0.6833333333333332,0
species,cnn,0.7541666666666668,0.5635416666666667,0
species,cnn,0.7354166666666667,0.5010416666666667,0
species,cnn,0.7333333333333334,0.6541666666666667,0
species,cnn,0.71875,0.553125,0
species,cnn,0.6979166666666666,0.5729166666666666,0
species,cnn,0.6770833333333334,0.5583333333333333,0
species,cnn,0.6770833333333334,0.53125,0
species,cnn,0.6708333333333334,0.5114583333333333,0
species,cnn,0.6666666666666666,0.5177083333333333,0
species,cnn,0.6625,0.5822916666666668,0
species,cnn,0.6520833333333333,0.6625,0
species,cnn,0.65,0.5145833333333334,0
species,cnn,0.6354166666666666,0.5291666666666667,0
species,cnn,0.6166666666666667,0.525,0
species,cnn,0.6145833333333334,0.609375,0
species,cnn,0.59375,0.5489583333333333,0
species,cnn,0.5604166666666667,0.45625,0
species,cnn,0.5541666666666667,0.546875,0
species,cnn,0.5333333333333333,0.5270833333333332,0
species,cnn,0.5104166666666666,0.4875,0
species,cnn,0.5104166666666666,0.4520833333333333,0
species,cnn,0.5,0.4947916666666667,0
species,dt,1.0,1.0,0
species,dt,1.0,1.0,0
species,dt,1.0,1.0,0
species,dt,1.0,1.0,0
species,dt,1.0,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.9916666666666668,1.0,0
species,dt,0.98125,1.0,0
species,dt,0.98125,1.0,0
species,dt,0.98125,1.0,0
species,dt,0.98125,1.0,0
species,dt,0.98125,1.0,0
species,dt,0.98125,1.0,0
species,dt,0.98125,1.0,0
species,dt,0.9458333333333332,1.0,0
species,dt,0.9333333333333332,1.0,0
species,ensemble,1.0,0.8770833333333333,0
species,ensemble,1.0,0.925,0
species,ensemble,1.0,0.903125,0
species,ensemble,0.9895833333333334,0.8781250000000002,0
species,ensemble,0.9895833333333334,0.9197916666666668,0
species,ensemble,0.9895833333333334,0.8875000000000001,0
species,ensemble,0.9895833333333334,0.9697916666666666,0
species,ensemble,0.9833333333333334,0.8916666666666666,0
species,ensemble,0.9833333333333334,0.9520833333333334,0
species,ensemble,0.9833333333333334,0.8041666666666667,0
species,ensemble,0.9833333333333334,0.8895833333333334,0
species,ensemble,0.9833333333333334,0.890625,0
species,ensemble,0.98125,0.9770833333333332,0
species,ensemble,0.98125,0.8447916666666666,0
species,ensemble,0.98125,0.7760416666666666,0
species,ensemble,0.98125,0.8916666666666666,0
species,ensemble,0.98125,0.9145833333333332,0
species,ensemble,0.98125,0.75625,0
species,ensemble,0.98125,0.946875,0
species,ensemble,0.98125,0.946875,0
species,ensemble,0.9791666666666666,0.934375,0
species,ensemble,0.975,0.934375,0
species,ensemble,0.9729166666666668,0.8979166666666667,0
species,ensemble,0.9729166666666668,0.9479166666666666,0
species,ensemble,0.9708333333333332,0.7937499999999998,0
species,ensemble,0.9666666666666668,0.9166666666666666,0
species,ensemble,0.9645833333333332,0.8854166666666666,0
species,ensemble,0.9645833333333332,0.8562500000000001,0
species,ensemble,0.9583333333333334,0.8250000000000001,0
species,ensemble,0.95625,0.8333333333333334,0
species,kan,0.9895833333333334,0.9833333333333334,0
species,kan,0.9895833333333334,0.9697916666666666,0
species,kan,0.9833333333333334,0.7479166666666667,0
species,kan,0.9833333333333334,0.81875,0
species,kan,0.98125,0.9625,0
species,kan,0.98125,0.9510416666666668,0
species,kan,0.975,0.7822916666666666,0
species,kan,0.975,0.8156249999999999,0
species,kan,0.975,0.6583333333333333,0
species,kan,0.975,0.7833333333333333,0
species,kan,0.975,0.759375,0
species,kan,0.9729166666666668,0.775,0
species,kan,0.9729166666666668,0.9208333333333334,0
species,kan,0.9729166666666668,0.8239583333333332,0
species,kan,0.9729166666666668,0.94375,0
species,kan,0.9729166666666668,0.8083333333333332,0
species,kan,0.9729166666666668,0.8302083333333333,0
species,kan,0.9729166666666668,0.8854166666666666,0
